title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
용두암,11,268.0,2022-09-11,25.0,27,23,40,4,207.3088
새별오름,7,149.0,2022-09-08,23.541666666666668,26,21,20,4,206.90927
신창풍차해안도로,9,217.0,2022-09-16,25.0,27,23,40,4,206.74802
스누피가든,6,212.0,2022-09-11,25.0,27,23,40,4,206.72365
금오름,10,45.0,2022-09-14,26.5,29,24,40,4,206.5217
김녕해수욕장,6,50.0,2022-09-14,26.0,28,24,40,4,206.50186
성산포종합여객터미널,2,180.0,2022-09-11,25.0,27,23,40,4,206.33119
주상절리대,5,382.0,2022-09-16,26.0,28,24,40,4,205.15085
천지연폭포,5,400.0,2022-09-11,25.0,27,23,40,4,205.0878
스누피가든,6,212.0,2022-09-16,25.0,27,23,40,4,205.02197
스누피가든,6,212.0,2022-09-12,25.0,27,23,40,4,204.97281
주상절리대,5,382.0,2022-09-14,26.0,28,24,40,4,204.93102
스누피가든,6,212.0,2022-09-17,25.5,28,23,40,4,204.43153
천지연폭포,5,400.0,2022-09-12,25.5,27,24,40,4,204.40474
금오름,10,45.0,2022-09-11,25.5,28,23,40,4,203.53493
김녕해수욕장,6,50.0,2022-09-15,26.0,28,24,40,4,203.08978
금능해수욕장,10,42.0,2022-09-13,25.5,28,23,80,4,202.54765
성산포종합여객터미널,2,180.0,2022-09-17,25.5,28,23,40,4,202.48529
성산포종합여객터미널,2,180.0,2022-09-13,25.0,27,23,80,4,202.37146
중문색달해변,5,384.0,2022-09-08,25.541666666666668,29,22,20,4,200.75037
새별오름,7,149.0,2022-09-09,23.5,26,21,20,4,200.65027
월정리해변,6,283.0,2022-09-17,25.5,28,23,40,4,199.93597
금능해수욕장,10,42.0,2022-09-16,25.0,27,23,40,4,199.2733
스누피가든,6,212.0,2022-09-07,22.0,22,22,0,4,198.36989
중문색달해변,5,384.0,2022-09-09,25.041666666666668,28,23,20,4,196.96213
천지연폭포,5,400.0,2022-09-13,25.5,27,24,80,4,195.69827
성산포종합여객터미널,2,180.0,2022-09-07,23.4,24,23,0,4,195.63379
천지연폭포,5,400.0,2022-09-16,26.0,28,24,40,4,194.36526
중문색달해변,5,384.0,2022-09-10,25.416666666666668,27,24,30,4,192.09512
김녕해수욕장,6,50.0,2022-09-07,22.0,22,22,0,4,190.99834
월정리해변,6,283.0,2022-09-12,25.0,27,23,40,4,190.17082
주상절리대,5,382.0,2022-09-15,26.0,28,24,40,4,187.92285
중문색달해변,5,384.0,2022-09-11,25.0,27,23,40,4,187.35786
금오름,10,45.0,2022-09-15,26.0,28,24,40,4,186.67336
월정리해변,6,283.0,2022-09-16,25.0,27,23,40,4,186.14159
금오름,10,45.0,2022-09-17,25.5,28,23,40,4,185.90558
스누피가든,6,212.0,2022-09-10,24.125,25,23,30,4,184.82176
용두암,11,268.0,2022-09-17,26.0,29,23,40,4,183.17421
금오름,10,45.0,2022-09-12,25.5,28,23,40,4,182.5587
월정리해변,6,283.0,2022-09-07,22.0,22,22,0,4,181.79268
용머리해안,3,270.0,2022-09-08,24.58333333333333,28,21,20,4,181.0434
정방폭포,5,305.0,2022-09-08,25.541666666666668,29,22,20,4,180.80191
중문색달해변,5,384.0,2022-09-12,25.5,27,24,40,4,180.52505
스누피가든,6,212.0,2022-09-09,23.416666666666668,25,21,30,4,179.2512
정방폭포,5,305.0,2022-09-11,25.0,27,23,40,4,179.2125
정방폭포,5,305.0,2022-09-07,25.0,26,24,0,4,178.03325
새별오름,7,149.0,2022-09-11,25.0,27,23,40,4,177.90712
정방폭포,5,305.0,2022-09-10,25.416666666666668,27,24,30,4,177.11696
용두암,11,268.0,2022-09-10,24.08333333333333,26,23,30,4,176.51814
스누피가든,6,212.0,2022-09-14,26.0,28,24,40,4,176.11491
